127.0.0.1, 2016-10-15 02:11:02, GET, /, HTTP/1.1, 303, 0.016675
127.0.0.1, 2016-10-15 02:11:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.440283
127.0.0.1, 2016-10-15 02:13:17, GET, /, HTTP/1.1, 303, 0.001665
127.0.0.1, 2016-10-15 02:13:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.059403
127.0.0.1, 2016-10-15 02:14:53, GET, /, HTTP/1.1, 200, 0.304033
127.0.0.1, 2016-10-15 02:16:29, GET, /, HTTP/1.1, 200, 0.280295
127.0.0.1, 2016-10-15 02:18:36, GET, /, HTTP/1.1, 200, 0.056409
127.0.0.1, 2016-10-15 02:18:36, GET, /posting_site/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001106
127.0.0.1, 2016-10-15 02:18:36, GET, /posting_site/static/js/jquery.js, HTTP/1.1, 304, 0.000956
127.0.0.1, 2016-10-15 02:18:36, GET, /posting_site/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.001917
127.0.0.1, 2016-10-15 02:18:36, GET, /posting_site/static/css/myapp.css, HTTP/1.1, 304, 0.002981
127.0.0.1, 2016-10-15 02:18:36, GET, /posting_site/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000871
127.0.0.1, 2016-10-15 02:18:36, GET, /posting_site/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.015768
127.0.0.1, 2016-10-15 02:18:36, GET, /posting_site/static/css/calendar.css, HTTP/1.1, 304, 0.000813
127.0.0.1, 2016-10-15 02:18:36, GET, /posting_site/static/js/calendar.js, HTTP/1.1, 304, 0.000972
127.0.0.1, 2016-10-15 02:18:36, GET, /posting_site/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001968
127.0.0.1, 2016-10-15 02:18:36, GET, /posting_site/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003285
127.0.0.1, 2016-10-15 02:18:36, GET, /posting_site/static/js/share.js, HTTP/1.1, 304, 0.001082
127.0.0.1, 2016-10-15 02:18:36, GET, /posting_site/static/js/web2py.js, HTTP/1.1, 304, 0.005813
127.0.0.1, 2016-10-15 02:18:37, GET, /posting_site/static/images/facebook.png, HTTP/1.1, 304, 0.001164
127.0.0.1, 2016-10-15 02:18:37, GET, /posting_site/static/images/twitter.png, HTTP/1.1, 304, 0.003488
127.0.0.1, 2016-10-15 02:18:37, GET, /posting_site/static/images/gplus-32.png, HTTP/1.1, 304, 0.002733
127.0.0.1, 2016-10-15 02:18:37, GET, /posting_site/static/images/favicon.ico, HTTP/1.1, 200, 0.001230
127.0.0.1, 2016-10-15 02:18:46, GET, /user/login, HTTP/1.1, 200, 0.033937
127.0.0.1, 2016-10-15 02:18:47, POST, /user/login, HTTP/1.1, 303, 0.048406
127.0.0.1, 2016-10-15 02:18:47, GET, /, HTTP/1.1, 200, 0.065940
127.0.0.1, 2016-10-15 02:18:47, GET, /posting_site/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000909
127.0.0.1, 2016-10-15 02:18:49, GET, /edit/edit/8, HTTP/1.1, 200, 0.034591
127.0.0.1, 2016-10-15 02:22:00, GET, /edit/edit/8, HTTP/1.1, 200, 0.067998
127.0.0.1, 2016-10-15 02:22:00, GET, /posting_site/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001418
127.0.0.1, 2016-10-15 02:22:00, GET, /posting_site/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000788
127.0.0.1, 2016-10-15 02:22:00, GET, /posting_site/static/css/myapp.css, HTTP/1.1, 200, 0.000884
127.0.0.1, 2016-10-15 02:22:00, GET, /posting_site/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.001065
127.0.0.1, 2016-10-15 02:22:00, GET, /posting_site/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000795
127.0.0.1, 2016-10-15 02:22:00, GET, /posting_site/static/js/jquery.js, HTTP/1.1, 304, 0.000952
127.0.0.1, 2016-10-15 02:22:00, GET, /posting_site/static/js/web2py.js, HTTP/1.1, 304, 0.000904
127.0.0.1, 2016-10-15 02:22:00, GET, /posting_site/static/js/calendar.js, HTTP/1.1, 304, 0.004091
127.0.0.1, 2016-10-15 02:22:00, GET, /posting_site/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002557
127.0.0.1, 2016-10-15 02:22:00, GET, /posting_site/static/css/calendar.css, HTTP/1.1, 304, 0.006484
127.0.0.1, 2016-10-15 02:22:00, GET, /posting_site/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001189
127.0.0.1, 2016-10-15 02:22:00, GET, /posting_site/static/js/share.js, HTTP/1.1, 304, 0.000827
127.0.0.1, 2016-10-15 02:22:01, GET, /posting_site/static/images/twitter.png, HTTP/1.1, 304, 0.002198
127.0.0.1, 2016-10-15 02:22:01, GET, /posting_site/static/images/gplus-32.png, HTTP/1.1, 304, 0.000906
127.0.0.1, 2016-10-15 02:22:01, GET, /posting_site/static/images/facebook.png, HTTP/1.1, 304, 0.001819
127.0.0.1, 2016-10-15 02:22:01, GET, /posting_site/static/images/favicon.ico, HTTP/1.1, 200, 0.000948
127.0.0.1, 2016-10-15 02:22:26, GET, /edit/edit/8, HTTP/1.1, 200, 0.063198
127.0.0.1, 2016-10-15 02:22:26, GET, /posting_site/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002132
127.0.0.1, 2016-10-15 02:22:26, GET, /posting_site/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.005239
127.0.0.1, 2016-10-15 02:22:26, GET, /posting_site/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001132
127.0.0.1, 2016-10-15 02:22:26, GET, /posting_site/static/js/jquery.js, HTTP/1.1, 304, 0.001757
127.0.0.1, 2016-10-15 02:22:26, GET, /posting_site/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004871
127.0.0.1, 2016-10-15 02:22:26, GET, /posting_site/static/css/myapp.css, HTTP/1.1, 200, 0.007627
127.0.0.1, 2016-10-15 02:22:26, GET, /posting_site/static/js/web2py.js, HTTP/1.1, 304, 0.003800
127.0.0.1, 2016-10-15 02:22:26, GET, /posting_site/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002555
127.0.0.1, 2016-10-15 02:22:26, GET, /posting_site/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004548
127.0.0.1, 2016-10-15 02:22:26, GET, /posting_site/static/js/calendar.js, HTTP/1.1, 304, 0.001645
127.0.0.1, 2016-10-15 02:22:26, GET, /posting_site/static/css/calendar.css, HTTP/1.1, 304, 0.007214
127.0.0.1, 2016-10-15 02:22:26, GET, /posting_site/static/js/share.js, HTTP/1.1, 304, 0.000826
127.0.0.1, 2016-10-15 02:22:26, GET, /posting_site/static/images/gplus-32.png, HTTP/1.1, 304, 0.000977
127.0.0.1, 2016-10-15 02:22:26, GET, /posting_site/static/images/facebook.png, HTTP/1.1, 304, 0.002462
127.0.0.1, 2016-10-15 02:22:26, GET, /posting_site/static/images/twitter.png, HTTP/1.1, 304, 0.002588
127.0.0.1, 2016-10-15 02:22:26, GET, /posting_site/static/images/favicon.ico, HTTP/1.1, 200, 0.000868
127.0.0.1, 2016-10-15 02:23:02, GET, /edit/edit/8, HTTP/1.1, 200, 0.039873
127.0.0.1, 2016-10-15 02:23:02, GET, /posting_site/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001027
127.0.0.1, 2016-10-15 02:23:02, GET, /posting_site/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000890
127.0.0.1, 2016-10-15 02:23:02, GET, /posting_site/static/css/myapp.css, HTTP/1.1, 304, 0.000789
127.0.0.1, 2016-10-15 02:23:02, GET, /posting_site/static/css/calendar.css, HTTP/1.1, 304, 0.000780
127.0.0.1, 2016-10-15 02:23:02, GET, /posting_site/static/js/calendar.js, HTTP/1.1, 304, 0.001430
127.0.0.1, 2016-10-15 02:23:02, GET, /posting_site/static/js/jquery.js, HTTP/1.1, 304, 0.001577
127.0.0.1, 2016-10-15 02:23:02, GET, /posting_site/static/js/web2py.js, HTTP/1.1, 304, 0.003076
127.0.0.1, 2016-10-15 02:23:02, GET, /posting_site/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.005606
127.0.0.1, 2016-10-15 02:23:02, GET, /posting_site/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000777
127.0.0.1, 2016-10-15 02:23:02, GET, /posting_site/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000777
127.0.0.1, 2016-10-15 02:23:02, GET, /posting_site/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001541
127.0.0.1, 2016-10-15 02:23:02, GET, /posting_site/static/js/share.js, HTTP/1.1, 304, 0.000827
127.0.0.1, 2016-10-15 02:23:03, GET, /posting_site/static/images/twitter.png, HTTP/1.1, 304, 0.000788
127.0.0.1, 2016-10-15 02:23:03, GET, /posting_site/static/images/gplus-32.png, HTTP/1.1, 304, 0.000808
127.0.0.1, 2016-10-15 02:23:03, GET, /posting_site/static/images/facebook.png, HTTP/1.1, 304, 0.000877
127.0.0.1, 2016-10-15 02:23:03, GET, /posting_site/static/images/favicon.ico, HTTP/1.1, 200, 0.000900
127.0.0.1, 2016-10-15 02:24:32, GET, /edit/edit/8, HTTP/1.1, 200, 0.054492
127.0.0.1, 2016-10-15 02:24:32, GET, /posting_site/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002337
127.0.0.1, 2016-10-15 02:24:32, GET, /posting_site/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000872
127.0.0.1, 2016-10-15 02:24:32, GET, /posting_site/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000809
127.0.0.1, 2016-10-15 02:24:32, GET, /posting_site/static/css/calendar.css, HTTP/1.1, 304, 0.001881
127.0.0.1, 2016-10-15 02:24:32, GET, /posting_site/static/js/jquery.js, HTTP/1.1, 304, 0.007205
127.0.0.1, 2016-10-15 02:24:32, GET, /posting_site/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000780
127.0.0.1, 2016-10-15 02:24:32, GET, /posting_site/static/css/myapp.css, HTTP/1.1, 304, 0.016080
127.0.0.1, 2016-10-15 02:24:32, GET, /posting_site/static/js/web2py.js, HTTP/1.1, 304, 0.000938
127.0.0.1, 2016-10-15 02:24:32, GET, /posting_site/static/js/calendar.js, HTTP/1.1, 304, 0.002664
127.0.0.1, 2016-10-15 02:24:32, GET, /posting_site/static/js/share.js, HTTP/1.1, 304, 0.001345
127.0.0.1, 2016-10-15 02:24:32, GET, /posting_site/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001762
127.0.0.1, 2016-10-15 02:24:32, GET, /posting_site/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001774
127.0.0.1, 2016-10-15 02:24:32, GET, /posting_site/static/images/facebook.png, HTTP/1.1, 304, 0.001811
127.0.0.1, 2016-10-15 02:24:32, GET, /posting_site/static/images/twitter.png, HTTP/1.1, 304, 0.003199
127.0.0.1, 2016-10-15 02:24:32, GET, /posting_site/static/images/gplus-32.png, HTTP/1.1, 304, 0.002022
127.0.0.1, 2016-10-15 02:24:32, GET, /posting_site/static/images/favicon.ico, HTTP/1.1, 200, 0.001060
127.0.0.1, 2016-10-15 02:24:35, GET, /, HTTP/1.1, 200, 0.047131
127.0.0.1, 2016-10-15 02:24:37, GET, /edit/edit/8, HTTP/1.1, 200, 0.043951
127.0.0.1, 2016-10-15 02:25:17, GET, /edit/edit/8, HTTP/1.1, 200, 0.043680
127.0.0.1, 2016-10-15 02:25:18, GET, /posting_site/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002396
127.0.0.1, 2016-10-15 02:25:18, GET, /posting_site/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.002757
127.0.0.1, 2016-10-15 02:25:18, GET, /posting_site/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002804
127.0.0.1, 2016-10-15 02:25:18, GET, /posting_site/static/css/myapp.css, HTTP/1.1, 304, 0.007170
127.0.0.1, 2016-10-15 02:25:18, GET, /posting_site/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.005204
127.0.0.1, 2016-10-15 02:25:18, GET, /posting_site/static/css/calendar.css, HTTP/1.1, 304, 0.000724
127.0.0.1, 2016-10-15 02:25:18, GET, /posting_site/static/js/calendar.js, HTTP/1.1, 304, 0.001038
127.0.0.1, 2016-10-15 02:25:18, GET, /posting_site/static/js/jquery.js, HTTP/1.1, 304, 0.002966
127.0.0.1, 2016-10-15 02:25:18, GET, /posting_site/static/js/web2py.js, HTTP/1.1, 304, 0.001035
127.0.0.1, 2016-10-15 02:25:18, GET, /posting_site/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003089
127.0.0.1, 2016-10-15 02:25:18, GET, /posting_site/static/js/share.js, HTTP/1.1, 304, 0.001984
127.0.0.1, 2016-10-15 02:25:18, GET, /posting_site/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001286
127.0.0.1, 2016-10-15 02:25:18, GET, /posting_site/static/images/twitter.png, HTTP/1.1, 304, 0.002871
127.0.0.1, 2016-10-15 02:25:18, GET, /posting_site/static/images/facebook.png, HTTP/1.1, 304, 0.002047
127.0.0.1, 2016-10-15 02:25:18, GET, /posting_site/static/images/gplus-32.png, HTTP/1.1, 304, 0.001309
127.0.0.1, 2016-10-15 02:25:18, GET, /posting_site/static/images/favicon.ico, HTTP/1.1, 200, 0.000820
127.0.0.1, 2016-10-15 02:35:43, GET, /edit/edit/8, HTTP/1.1, 200, 0.072905
127.0.0.1, 2016-10-15 02:35:43, GET, /posting_site/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001002
127.0.0.1, 2016-10-15 02:35:43, GET, /posting_site/static/css/calendar.css, HTTP/1.1, 304, 0.001060
127.0.0.1, 2016-10-15 02:35:43, GET, /posting_site/static/css/myapp.css, HTTP/1.1, 304, 0.002418
127.0.0.1, 2016-10-15 02:35:43, GET, /posting_site/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.002865
127.0.0.1, 2016-10-15 02:35:43, GET, /posting_site/static/js/calendar.js, HTTP/1.1, 304, 0.001165
127.0.0.1, 2016-10-15 02:35:43, GET, /posting_site/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000850
127.0.0.1, 2016-10-15 02:35:43, GET, /posting_site/static/js/jquery.js, HTTP/1.1, 304, 0.005662
